alternative_id,module,subbase_thickness_in,pavement_thickness_in,bar_size,bar_spacing_in,fe3_psi,n_simulations,random_seed,total_present_worth_mean,total_present_worth_std,total_present_worth_p05,total_present_worth_p50,total_present_worth_p95,total_present_worth_min,total_present_worth_max,gwp_total_project_kgco2e_mean,gwp_total_project_kgco2e_std,gwp_total_project_kgco2e_p05,gwp_total_project_kgco2e_p50,gwp_total_project_kgco2e_p95,gwp_total_project_kgco2e_min,gwp_total_project_kgco2e_max,demand_capacity_ratio_k_mean,demand_capacity_ratio_k_std,demand_capacity_ratio_k_p05,demand_capacity_ratio_k_p50,demand_capacity_ratio_k_p95,demand_capacity_ratio_k_min,demand_capacity_ratio_k_max
43,SRC,4,10,#5,8.0,nan,50000,42,965536.2687885019,77385.76312287756,837861.4294799115,965573.7811146484,1093173.1358016392,756965.2959509571,1224017.9514482063,1063535.840290218,85785.70605952253,933553.7023296464,1057436.2684928845,1215107.2961135386,879917.1980553863,1333876.2469740433,0.26094889997859755,0.005817928868853117,0.2526317717029264,0.2604247185851759,0.2708502108352452,0.25188889724971164,0.27229897534827513
44,SRC,4,10,#5,10.0,nan,50000,42,893915.3048148387,73194.73356544379,774806.8972286646,894279.2498137389,1013282.4049186617,698970.718881917,1142901.3867450387,1045667.656176033,85542.29482266011,916225.924341236,1039283.2348868267,1196849.6706266631,865407.37947027,1311115.7014967687,0.32310948255916855,0.007203816481063374,0.31281113290622586,0.3224604360262669,0.3353693825925133,0.31189129848575387,0.33716325699548494
45,SRC,4,10,#5,12.0,nan,50000,42,846167.9954990634,70800.4872867179,732062.5128874741,846524.5125645516,960430.4277998427,660307.6675025568,1089431.1607223996,1033755.5334332434,85407.19704882007,904682.0489535639,1027417.3053892164,1184892.8543490234,855570.9461683395,1295942.004511919,0.3853085159022561,0.008590561363801668,0.3730277193450359,0.3845345269918624,0.39992846406825605,0.37193081549492063,0.40206766183629883
46,SRC,4,10,#5,15.0,nan,50000,42,798420.686183288,68765.69537899537,688846.0865086672,798784.428865278,908379.1318315251,621644.6161231967,1035960.9346997606,1021843.4106904536,85293.96333251102,892997.5372274313,1015655.4954309473,1172823.4340552918,845330.3853611976,1280768.3075270695,0.47864468095024465,0.010671517325621277,0.4633890151464899,0.4776832029143727,0.49680612856070777,0.46202640006869417,0.49946352021159474
47,SRC,4,10,#5,18.0,nan,50000,42,769094.2262591544,67708.35214445382,661945.7091397945,769567.0135856511,876586.3000985426,597897.7193227331,1003119.4518380404,1014526.9692985956,85235.29187837621,885800.986317432,1008426.2250068387,1165442.4553308191,838725.7894320501,1271448.6029635263,0.5720055091283937,0.012753023158840873,0.5537741879992312,0.5708564924249533,0.5937093919884466,0.5521457914822717,0.596885114449629
48,SRC,4,10,#5,24.0,nan,50000,42,726799.722209625,66458.15173634698,622266.2302865953,727283.733424605,831376.1351670424,563650.0390541564,955755.595665802,1003975.226576269,85165.29403303246,875432.7632835845,997994.2243818275,1154798.0371532475,829200.6674093623,1258007.762049795,0.7587635911366762,0.016916846945401163,0.7345797983752955,0.7572394239280305,0.787553726612115,0.7324197352827471,0.7917663129257885
49,SRC,4,10,#6,6.0,nan,50000,42,1295214.7131944874,103231.99934422283,1124139.3790211151,1295401.3317337101,1465895.2429201745,1023920.1216237163,1609387.1302252198,1145784.8748786142,87523.80904582325,1013303.6001362215,1139668.8763528876,1299455.2661802487,944524.11679485,1438645.3091377248,0.14549440902062316,0.0032438386311160264,0.14085711925501485,0.14520214696448214,0.15101497404977476,0.1404429229140613,0.1518227457500986
50,SRC,4,10,#6,8.0,nan,50000,42,1123769.4535685056,88699.40274548907,976307.9570152218,1123486.5552096711,1271372.7592306447,885093.5159645567,1407621.5718408378,1103012.2662101844,86494.86148547979,972135.2540313042,1096884.4799518208,1255368.1582336505,910926.0755978291,1384161.434416139,0.18948882712003073,0.004224706514253033,0.18344931945361387,0.18910819122754086,0.1966786937235338,0.1829098789392119,0.1977307184240391
51,SRC,4,10,#6,10.0,nan,50000,42,1020902.2977929164,81056.28693308831,886286.6437158303,1020697.1829346642,1155184.107844925,801797.5525690609,1288261.1339772516,1077348.7010091261,86007.16456204613,947247.8435191932,1071153.6234766426,1229036.8439789277,890767.2508796166,1351471.1095831874,0.23360699112692107,0.005208333347083275,0.22616132145191745,0.23313773282335284,0.2424708546558475,0.22549628448178735,0.24376781938253594
52,SRC,4,10,#6,12.0,nan,50000,42,952324.1939425237,76562.73766863348,826263.614702367,952367.1033205497,1078330.4261689365,746266.9103053971,1208687.5087348612,1060239.657541754,85737.13865427279,930318.1327047638,1054086.627080943,1211664.5793377813,877328.0344008082,1329677.559694553,0.27778422039389317,0.006193277056443001,0.2689305061450007,0.2772262210318397,0.2883243219900947,0.2681397045710001,0.2898665546679078
53,SRC,4,10,#6,15.0,nan,50000,42,883746.0900921309,72656.37487619526,765735.1478534035,884121.2643537212,1002019.9229794197,690736.2680417332,1131513.3060869253,1043130.614074382,85511.69421826137,913818.2104871316,1036714.8828332021,1194322.6471375185,863312.417392064,1307884.0098059187,0.34410727022948695,0.007671968042841229,0.3331396658160389,0.34341604436721973,0.3571638995191833,0.332160054481253,0.3590743517258222
54,SRC,4,10,#6,18.0,nan,50000,42,841629.1847372601,70591.0723307122,727898.1827447949,841959.921957736,955518.1198239102,656632.397080003,1084348.3353069907,1032623.1791356782,85395.49127216378,903607.0337995813,1026325.4831260559,1183782.850536717,854635.9048022742,1294499.6082772808,0.41046754811748865,0.009151489039102893,0.3973848669834681,0.4096430209731158,0.4260421176627542,0.3962163399063462,0.4283209960849733
55,SRC,4,10,#6,24.0,nan,50000,42,780878.9343165419,68114.99059923712,672856.5443086543,781298.1737595822,889255.9594918723,607440.3046462374,1016316.6562977091,1017467.048873324,85257.87232613015,888773.5605190939,1011352.8905053912,1168388.1452522848,841379.8170597748,1275193.684972967,0.5432427070705734,0.012111748424764493,0.5259281321484357,0.5421514676777968,0.5638552289618467,0.524381618141245,0.5668712629670896
