alternative_id,output,parameter,spearman_rho,abs_spearman_rho
22,gwp_total_project_kgco2e,rebar_gwp_factor,0.12183381288188552,0.12183381288188552
22,gwp_total_project_kgco2e,trucking_gwp_factor,0.035941241788392496,0.035941241788392496
22,gwp_total_project_kgco2e,demolition_gwp_factor,0.02217481593882193,0.02217481593882193
22,gwp_total_project_kgco2e,crushing_gwp_factor,0.02540162523982465,0.02540162523982465
22,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
23,total_present_worth,concrete_unit_cost,0.8359444002703779,0.8359444002703779
23,total_present_worth,stone_57_unit_cost,0.1432660264545544,0.1432660264545544
23,total_present_worth,rebar_unit_cost,0.4604893761415398,0.4604893761415398
23,total_present_worth,fiber_unit_cost,0.002016046670342419,0.002016046670342419
23,total_present_worth,demolition_cost,0.0487342510342137,0.0487342510342137
23,total_present_worth,crushing_cost,0.04123596192161439,0.04123596192161439
23,total_present_worth,recycled_aggregate_credit,-0.030306747685466703,0.030306747685466703
23,total_present_worth,discount_rate,-0.2050231113096777,0.2050231113096777
23,gwp_total_project_kgco2e,concrete_gwp_factor,0.9938643818775458,0.9938643818775458
23,gwp_total_project_kgco2e,stone_57_gwp_factor,0.011151211249196488,0.011151211249196488
23,gwp_total_project_kgco2e,rebar_gwp_factor,0.10325730418821492,0.10325730418821492
23,gwp_total_project_kgco2e,trucking_gwp_factor,0.03503107071388443,0.03503107071388443
23,gwp_total_project_kgco2e,demolition_gwp_factor,0.02220155793096063,0.02220155793096063
23,gwp_total_project_kgco2e,crushing_gwp_factor,0.025536632133446657,0.025536632133446657
23,demand_capacity_ratio_k,subgrade_k_pci,-1.0,1.0
24,total_present_worth,concrete_unit_cost,0.871356918066783,0.871356918066783
24,total_present_worth,stone_57_unit_cost,0.14875813411111927,0.14875813411111927
24,total_present_worth,rebar_unit_cost,0.38432639401088264,0.38432639401088264
